htid	recordid	OCLC	LOCnum	author	imprint	datetype	startdate	enddate	textdate	place	enumcron	materialtype	subjects	genres	title	enum_start_date	enum_end_date	inferred_date	filter_status
mdp.39015070333375	2072278	67905917	<blank>	<blank>	Philadelphia;1885-[1886	m	1885	1886	1885-1886	pau	v.1 1885-1886	monograph	<blank>	UnknownGenre	Clinical notes on the local treatment of disease;	1885.0	1886.0	1885	ok
njp.32101038143036	8889258	37316358	<blank>	Lamb, Charles,	New York;J.B. Alden;1885.	s	1885	    	1885	nyu	<blank>	monograph	<blank>	NotFiction	The essays of Elia			1885	ok
loc.ark:/13960/t12n5hz4t	9582516	<blank>	E297.J79	Jones, Thomas L.	Cincinnati;Wrightson & co.;1885.	s	1885	    	1885	ohu	<blank>	monograph	Washington, George;1732-1799;Revolution, 1775-1783;United States;History	Biography;NotFiction	"""The cause and effect of the American revolution, and the example of Washington."""			1885	ok
loc.ark:/13960/t2d79n11p	9578661	<blank>	F532.S8H6	<blank>	Chicago;Inter-state publishing co.;1885.	s	1885	    	1885	ilu	<blank>	monograph	History;Steuben County (Ind.)	Biography;NotFiction	History of Steuben County, Indiana, together with... biographies of representative citizens			1885	ok
uc2.ark:/13960/t2988kc8r	7695999	361863800	D378.V23	Vámbéry, Ármin,	London[etc.;Cassell & company;1885.	 	1885	    	1885	enk	<blank>	monograph	Eastern question (Central Asia);Defenses;India	NotFiction	The coming struggle for India			1885	ok
uiuo.ark:/13960/t7wm1x99x	8717970	13345227	PR5112.N49a	Norris, W. E.	London;Smith, Elder, & Co.;1885.	s	1885	    	1885	enk	v.2	monograph	<blank>	Fiction	Adrian Vidal			1885	ok
uc2.ark:/13960/t4gm87p48	7692193	5700731	<blank>	<blank>	London;Royal Astronomical Society;1886.	s	1886	    	1886	enk	<blank>	monograph	Catalogs;Bibliography;Astronomy	NotFiction;Bibliographies;Catalog	Catalogue of the library of the Royal Astronomical Society			1886	ok
mdp.39015030752441	629847	4709568	PS2322.D4 1887	Lowell, James Russell,	Boston;New York;Houghton, Mifflin and company;1887.	s	1887	    	1887	mau	<blank>	monograph	<blank>	Fiction	Democracy			1887	ok
uc2.ark:/13960/t17m0jm7h	7705539	5063938	<blank>	Hill, Thomas E.	Chicago;Hill standard book co.;1887 [c1886	 	1887	1886	1887	ilu	<blank>	monograph	Etiquette;Business	NotFiction	Hill's Manual of social and business forms			1887	ok
uc1.b280563	6517297	14558583	HF5681.S8D8	Duque, Joseph L.	San Francisco, Cal.;The Bancroft Company, Printers;1888.	s	1888	    	1888	cau	<blank>	monograph	Inventories	NotFiction	Stock system			1888	ok
nyp.33433081651147	8644727	304081	DA25.M2R7	<blank>	London;Printed for H.M. Statioery Off., by Eyre & Spottiswoode;1888-1905.	m	1888	1905	1888-1905	enk	v.3	monograph	Great Britain;Sources;History	NotFiction	The manuscripts of His Grace the Duke of Rutland			1888	ok
uc1.b3548718	1069657	2337407	<blank>	Johnson, Charles Plumptre,	London;E. Stock;1888.	s	1888	    	1888	enk	<blank>	monograph	Thackeray, William Makepeace;1811-1863	NotFiction	The early writings of William Makepeace Thackeray			1888	ok
mdp.39015063543105	280716	1184820	<blank>	Besant, Walter,	New York;Dodd, Mead & company;1888	s	1888	    	1888	nyu	<blank>	monograph	<blank>	Fiction	The monks of Thelema;			1888	ok
mdp.39015033419766	1799486	67894157	<blank>	Ohnet, Georges,	Chicago;New York;Rand, McNally & company;1888.	s	1888	    	1888	ilu	<blank>	monograph	<blank>	UnknownGenre	The ironmaster;			1888	ok
mdp.39015058405013	1906578	29685123	<blank>	<blank>	London;W. & R. Chambers;1888-1892.	m	1888	1892	1888-1892	enk	v.1 A-Bea	monograph	<blank>	UnknownGenre	Chambers' encyclopaedia			1888	ok
uc2.ark:/13960/t5gb29483	7700423	18196363	<blank>	<blank>	Melbourne;A.H. Massina;1888.	s	1888	    	1888	xx 	<blank>	monograph	Jews;Australia;Melbourne (Vic.);Education;Jewish day schools	NotFiction	The Jewish education question in Melbourne			1888	ok
njp.32101035580784	8888700	11867931	E312.6.O34	Ogilvie, J. S.	New York;J.S. Ogilvie;1889	s	1889	    	1889	nyu	<blank>	monograph	1732-1799;Washington, George;Anniversaries, etc	NotFiction	Illustrated programme of the centennial celebration in New York, April, 1889. 1789. 1889			1889	ok
uc2.ark:/13960/t4bp0077d	7670322	11979122	<blank>	Pitman, Isaac,	London;I. Pitman;1889.	s	1889	    	1889	enk	<blank>	monograph	Pitman;Dictionaries;Shorthand	NotFiction;Dictionary	A phonographic and pronouncing dictionary of the English language			1889	for-content
njp.32101068970969	8975801	42446382	<blank>	Tytler, Sarah,	London;Low;1889.	s	1889	    	1889	enk	vol.1	monograph	<blank>	NotFiction	Duchess Frances			1889	ok
inu.30000092056328	9048946	7934841	<blank>	Power, Thomas F.	Boston;W.H. Baker;c1889	s	1889	    	1889	mau	<blank>	monograph	<blank>	NotFiction	The Virginia veteran			1889	ok
nyp.33433076058944	8661442	8632738	<blank>	Thackeray, William Makepeace,	Boston;Houghton, Mifflin;c1889.	s	1889	    	1889	mau	v. 17, Philip v. 1	monograph	English literature	NotFiction	The complete works of William Makepeace Thackeray			1889	ok
mdp.39015008586813	2809384	1555168	G161.H2	Hues, Robert,	London;Printed for the Hakluyt Society;1889.	s	1889	    	1889	enk	<blank>	monograph	Globes	NotFiction	Tractatus de globis et eorum usu			1889	ok
uc1.$b756920	5803779	4178911	DA787.A3P63	Pitcairn, Robert,	Edinburgh;Priv. print. for the editor [by E. & G. Goldsmid;1890.	s	1890	    	1890	stk	<blank>	monograph	1542-1587;Queen of Scots;Mary	NotFiction	The funeral of Mary, queen of Scots			1890	ok
nyp.33433081748513	249249	6371196	<blank>	Finerty, John F.	Chicago;M. A. Donohue & co.;c1890	s	1890	    	1890	ilu	<blank>	monograph	Wars, 1877;Crook, George;Custer, George A;1839-1876;Nez Percé Indians;Wars, 1876;Dakota Indians;(George Armstrong);1829-1890	NotFiction;Autobiography	War-path and bivouac			1890	ok
nc01.ark:/13960/t9n30pp3w	10937497	6074518	<blank>	<blank>	Chattanooga;s.n.;1890	s	1890	    	1890	tnu	<blank>	monograph	Description and travel;Chattanooga (Tenn.);Tennessee;United Confederate Veterans;Southern imprints	NotFiction	First annual convention, United Confederate Veterans, Chattanooga, Tenn., July 3d, 4th, 5th, 1890			1890	ok
njp.32101067708378	8657415	778744	PZ3.B4594Le	Berry, Edward Payson.	New York;Anson D. F.Randolph & Company;c1890	s	1890	    	1890	xx 	<blank>	monograph	Fiction;Jews;History;To 70 A.D	NotFiction	Leah of Jerusalem;			1890	ok
mdp.39015070268233	239595	3195994	F851.W36	Webb, William Seward,	New York;London;G. P. Putnam's sons;1891.	s	1891	    	1891	nyu	<blank>	monograph	Description and travel;Alaska;California;Canadian Pacific Railway Company;Pacific Coast (U.S.)	NotFiction	California and Alaska, and over the Canadian Pacific railway			1891	ok
wu.89097675409	7556043	3305958	BS661.S3	Sayce, A. H.	London;The Religious Tract Society;1891.	s	1891	    	1891	enk	<blank>	monograph	Ethnology in the Bible	NotFiction	The races of the Old Testament			1891	ok
njp.32101068558848	8971852	2295935	H31.J62 vol. 9	Vincent, John Martin,	Baltimore;Johns Hopkins press;1891.	s	1891	    	1891	mdu	<blank>	monograph	Politics and government;Switzerland	NotFiction	State and federal government in Switzerland ;			1891	ok
uc2.ark:/13960/t9z032651	1397120	2859598	BL181.S67	Stokes, George Gabriel,	London;Edinburgh;A. and C. Black;1891.	s	1891	    	1891	enk	<blank>	monograph	Natural theology	NotFiction	Natural theology			1891	ok
uc2.ark:/13960/t8kd1sv7w	6560288	23615860	<blank>	Blackburn, Francis Adelbert,	Leipzig-Reudnitz;Printed by O. Schmidt;1892.	s	1892	    	1892	gw 	<blank>	monograph	English language;Tense	NotFiction	The English future;			1892	ok
mdp.39015016735782	1899177	68189391	<blank>	Sherman, L. A.	(In Nebraska;University studies.;Lincoln;1892	s	1892	    	1892	nbu	<blank>	monograph	<blank>	UnknownGenre	On certain facts & principles in the development of form in literature			1892	ok
uc2.ark:/13960/t4xg9p98p	6110042	1889106	<blank>	Griffis, William Elliot,	Boston;Houghton, Mifflin;1892.	s	1892	    	1892	mau	<blank>	monograph	Japan;History;Folklore	NotFiction	Japan in history, folk lore and art			1892	ok
nyp.33433017993837	8526398	3561896	GV1547.G64	Tit, Tom.	New York;Worthington Co.;1892.	s	1892	    	1892	nyu	<blank>	monograph	Magic tricks	NotFiction	Magical experiments, or, Science in play			1892	ok
mdp.39015008834841	1112132	5522754	PR2944.O8 1893	Owen, Orville Ward,	Detroit;New York;Howard publishing company;1893-95.	m	1893	1895	1893-1895	miu	v.2	monograph	Shakespeare, William;Baconian theory;1564-1616;Authorship	NotFiction	Sir Francis Bacon's cipher story			1893	ok
nyp.33433071387447	8687455	35299481	<blank>	<blank>	London;Simpkin and Co., Ltd.;1893	s	1893	    	1893	enk	<blank>	monograph	Guidebooks;Winchester (England)	NotFiction	The new illustrated shilling guide to Winchester			1893	ok
uc1.b155332	6634050	9502191	<blank>	Ainslie, Douglas,	London;New York;George Bell & Sons;the Chiswick Press;1893.	s	1893	    	1893	enk	<blank>	monograph	<blank>	NotFiction	Escarlamonde;			1893	ok
uc1.b74727	1748469	2430374	<blank>	Jacobi, Mary Putnam,	New York;London;G. P. Putnam's son;1894.	s	1894	    	1894	nyu	<blank>	monograph	Women;Suffrage	UnknownGenre	"""Common sense"" applied to woman suffrage;"			1894	ok
wu.89094305398	5757366	61256153	<blank>	<blank>	Calcutta;Printed by order of the trustees of the Indian museum [Gov't of India central print. off.;1894.	s	1894	    	1894	ii 	Supp. 2	monograph	Antiquities;India;Bibliography;Zoology	NotFiction;Bibliographies;Catalog	Catalogue of the books in the library of the Indian museum			1894	for-content
yale.39002002963701	6105766	5741045	E527.5 88th	Vautier, John D.	Philadelphia;Printed by J. B. Lippincott company;1894.	s	1894	    	1894	pau	<blank>	monograph	Pennsylvania Infantry;Regimental histories;88th regt., 1861-1865;Pennsylvania infantry;United States;Civil War, 1861-1865;History;88th	NotFiction	History of the 88th Pennsylvania volunteers in the war for the union, 1861-1865			1894	ok
loc.ark:/13960/t1pg1tq57	9582971	<blank>	F74.A89D2	Daggett, John,	Boston;Press of S. Usher;1894.	s	1894	    	1894	mau	<blank>	monograph	Attleboro (Mass.);Biography;History	Biography;NotFiction	A sketch of the history of Attleborough, from its settlement to the division			1894	ok
nnc1.cu09349634	8421134	31727360	<blank>	<blank>	New York?;s.n.;1894].	s	1894	    	1894	nyu	v.3	monograph	Constitutional conventions;New York (State);Constitutional history;Constitution	NotFiction	Proposed Constitutional amendment[s]			1894	ok
nyp.33433074944392	6501394	1199842	PZ3.C825DauPR9199.2.C68	Duncan, Sara Jeannette,	New York;D. Appleton and company;1894.	s	1894	    	1894	nyu	<blank>	monograph	<blank>	NotFiction	A daughter of to-day			1894	ok
mdp.39015051172537	1743699	17998921	<blank>	Lamson, Mary (Swift)	Boston;Houghton, Mifflin & co.;1895.	s	1895	    	1895	mau	<blank>	monograph	Bridgman, Laura Dewey;1829-1889	UnknownGenre	Life and education of Laura Dewey Bridgman			1895	ok
uc2.ark:/13960/t4xg9hn3p	5820865	5399001	<blank>	Laughton, John Knox,	London;New York;Macmillan and Co.;1895.	r	1895	1895	1895	enk	<blank>	monograph	1758-1805;Viscount;Nelson, Horatio Nelson	NotFiction	Nelson			1895	ok
uc2.ark:/13960/t1kh0hq7h	483150	4826018	<blank>	Hewlett, Maurice,	Westminster;A. Constable;1896.	s	1896	    	1896	enk	<blank>	monograph	<blank>	NotFiction	Songs and meditations			1896	ok
uc1.b35400	1113562	1727467	QD163.R18 1896	Ramsay, William,	London;Macmillan and co., ltd.;1896.	s	1896	    	1896	enk	<blank>	monograph	Chemistry;Air;Argon;History	NotFiction	The gases of the atmosphere;			1896	ok
uva.x001328390	428114	597459	<blank>	Barrie, J. M.	New York;C. Scribner's sons;1896-1903.	m	1896	1903	1896-1903	nyu	v.3	monograph	<blank>	Fiction	The novels, tales, and sketches of J.M. Barrie			1896	ok
loc.ark:/13960/t9280td7b	9587823	<blank>	SB321.G82	Greiner, Tuisco,	Buffalo, N.Y.;J. W. Klein ptg. co.;1896.	s	1896	    	1896	nyu	<blank>	monograph	Vegetable gardening. [from old catalog]	NotFiction	The young market gardener			1896	ok
nyp.33433056814381	8614049	2587563	<blank>	Thackeray, William Makepeace,	Boston;Estes & Lauriat;1896.	s	1896	    	1896	mau	v. 14	monograph	<blank>	NotFiction	Thackeray's works			1896	ok
mdp.39015069930108	2071994	67905814	<blank>	<blank>	Philadelphia;New York, [etc.;The F.A. Davis Company;1888-1896.	m	1888	1896	1888-1896	pau	1896 v.4	monograph	<blank>	UnknownGenre	Annual of the universal medical sciences and analytical index	1896.0		1896	ok
mdp.39015066927875	1724090	67879263	<blank>	<blank>	Leipzig;B. Tauchnitz;1896.	s	1896	    	1896	gw 	<blank>	monograph	Dictionaries;Latin language;English	UnknownGenre	A new dictionary of the Latin and English languages, with an appendix of Latin geographical, historical, and mythological proper names			1896	for-content
uc1.31822031026057	10748011	31178929	<blank>	Hanson, J. W	Chicago;W.B. Conkey;c1896	s	1896	    	1896	ilu	<blank>	monograph	Description and travel;California, Southern	NotFiction	The American Italy			1896	ok
mdp.39015068620064	2029599	67901789	<blank>	<blank>	Iowa City;Pub. by the University;1891-	m	1891	1901	1891	iau	no.23 1897	monograph	<blank>	UnknownGenre	The law bulletin of the State university of Iowa	1897.0		1897	ok
njp.32101074871797	7705390	2694351	<blank>	<blank>	New York;The Century Co.;c1897	 	1897	    	1897	nyu	v.3 (D-G)	monograph	English language;Biography;Dictionaries;Atlases;Encyclopedias and dictionaries	NotFiction;Encyclopedia;Handbooks;Dictionary	The Century dictionary and cyclopedia;			1897	ok
mdp.39015027015182	367487	5874506	E186.6.N39	Winslow, John,	New York;1897	s	1897	    	1897	nyu	<blank>	monograph	1736-1812;Lexington, Battle of, Lexington, Mass., 1775;Tooke, John Horne	NotFiction	The battle of Lexington as looked at in London before Chief-Justice Mansfield and a jury in the trial of John Horne, esq			1897	ok
nnc1.cu50580337	8424444	30774870	<blank>	<blank>	Topeka;1897.	s	1897	    	1897	ksu	<blank>	monograph	Kansas;Irrigation	NotFiction	Report, 1895-96			1897	ok
uc2.ark:/13960/t8qb9wr9b	6537634	6775929	<blank>	Spotton, Henry Bryon,	Toronto;W. J. Gage & Co.;1897?	s	1897	    	1897	onc	<blank>	monograph	Plant physiology;Plant anatomy	NotFiction	The elements of structural botany with special reference to the study of Canadian plants			1897	ok
uc1.b555977	6089624	4209396	<blank>	Stoddard, John L.	S.l.;s.n.;1897-1898.	m	1897	1898	1897-1898	xx 	v.6	monograph	Description and travel;Asia;Europe;Canada;West (U.S.)	NotFiction	Lectures			1897	ok
uc2.ark:/13960/t6j104r27	6131718	8304660	PZ3.M2239I	McLeish, John Lewin,	New York;London [etc.;The Abbey Press;c1898].	s	1898	    	1898	nyu	<blank>	monograph	Iturbide, Agustín de;1783-1824	Fiction	Iturbide, a soldier of Mexico			1898	ok
nyp.33433006970978	8592916	11107422	UA602.T5C5	Chambers, Ernest J.,	Montreal;E. L. Ruddy;1898.	s	1898	    	1898	quc	<blank>	monograph	Canada;Canadian Army;Artillery;Field Battery, 3rd	NotFiction	The origin and services of the 3rd (Montreal) field battery of artillery			1898	ok
mdp.39015050570376	778895	2060002	<blank>	Prentice, E. Parmalee	Chicago;Callaghan and company;1898.	s	1898	    	1898	ilu	<blank>	monograph	Interstate commerce;United States;Constitution	NotFiction	The commerce clause of the federal Constitution			1898	ok
nyp.33433034025613	8608788	35816976	<blank>	<blank>	Washington;Govt. Prtg. Off.;1898-1906.	m	1898	1906	1898-1906	dcu	v. 68	monograph	History;Philippines;Politics and government;1898-1946	NotFiction	[Elihu Root collection of United States documents relating to the Philippine Islands]			1898	ok
coo.31924018407977	9170445	6084823	<blank>	Salmon, D. E.	Washington;Govt. print. off.;1898.	s	1898	    	1898	dcu	<blank>	monograph	Diseases;Scabies in sheep;Sheep	NotFiction	Sheep scab			1898	ok
loc.ark:/13960/t81k0705g	11203657	<blank>	F1786.W74	Wilson, John Lockwood,	Washington;Govt. print. off.;1898.	s	1898	    	1898	dcu	<blank>	monograph	Cuban question;Speeches in Congress;1895-1898	NotFiction	Cuban independence			1898	ok
uc2.ark:/13960/t15m6408m	6554393	28625453	<blank>	Sherrill, Joseph E.	New York;Hinds, Noble & Eldredge;c1899.	s	1899	    	1899	nyu	<blank>	monograph	Examinations	NotFiction	New normal question book comprising questions and answers on all common school studies			1899	ok
nyp.33433034394605	8608968	28557728	<blank>	Johnson, Samuel,	New York;E.N. Miner;1899-1900.	m	1899	1900	1899-1900	nyu	v. 1	monograph	Texts;Shorthand	NotFiction	The history of Rasselas, prince of Abyssinia			1899	ok
nyp.33433075809818	8662512	37103882	PS2359.M55	McLaren, Christopher Columbus.	Astoria, Ill.;The H.E. McLaren Press;1899.	s	1899	    	1899	ilu	<blank>	monograph	<blank>	Poetry	Liberty, love, and law			1899	ok
mdp.49015002032911	4405901	4140870	<blank>	Macaulay, Thomas Babington Macaulay,	Boston;Houghton, Mifflin;1899.	s	1899	    	1899	mau	v.7	monograph	Great Britain;Stuarts, 1603-1714;History	NotFiction	History of England			1899	ok
uc1.b239167	6495712	4281971	<blank>	Wells, J.	London;Methuen & co.;1899.	s	1899	    	1899	enk	<blank>	monograph	University of Oxford	NotFiction	Oxford and Oxford life			1899	ok
mdp.39015071693803	3162924	34583418	<blank>	McLaughlin, Andrew Cunningham,	New York;D. Appleton & Co.;1899.	s	1899	    	1899	nyu	<blank>	monograph	United States;History	NotFiction	A history of the American nation			1899	ok
uc2.ark:/13960/t6445jp4g	208400	2677997	<blank>	Moody, William Vaughn,	Boston;Small, Maynard & co.;1900.	s	1900	    	1900	mau	<blank>	monograph	<blank>	Fiction	The masque of judgment;			1900	ok
pst.000006094201	9430260	316876285	<blank>	Lewis, Alfred Henry,	S.l.;F.A. Stokes;c1900].	s	1900	    	1900	xx 	<blank>	monograph	<blank>	NotFiction	Sanburrs			1900	ok
uva.x000889934	9793770	5185528	<blank>	Keats, John,	Glasgow;Gowans & Gray;1900-1901.	m	1900	1901	1900-1901	stk	v.3	monograph	<blank>	NotFiction	Complete works;			1900	ok
uc2.ark:/13960/t6c24ss0w	6556114	24634331	LB2529.R4 1900	<blank>	Providence, R.I.;E.L. Freeman & Sons, printers to the state;1900.	s	1900	    	1900	riu	<blank>	monograph	Educational law and legislation;Rhode Island	NotFiction	Laws pertaining to education			1900	ok
uc2.ark:/13960/t53f4r12m	1441573	3043328	<blank>	<blank>	Boston;Ginn & co.;1900-02.	m	1900	1902	1900-1902	mau	v.2	monograph	English language;Grammar;Composition and exercises	NotFiction	The mother tongue			1900	ok
njp.32101075686517	9026763	36783330	<blank>	Gautier, Théophile,	New York;International pub. co.;1900-1903.	m	1900	1903	1900-1903	nyu	v.9	monograph	<blank>	Fiction	The works of Théophile Gautier			1900	ok
wu.89066080805	9561987	2053455	F133.B63	<blank>	Chicago;Lewis;1900.	s	1900	    	1900	ilu	v.2, pp.345-605	monograph	Gloucester County (N.J.);Biography;Cumberland County (N.J.);Camden County (N.J.);Cape May County (N.J.);Salem County (N.J.)	NotFiction;ContainsBiogMaterial;Statistics	Biographical, genealogical and descriptive history of the first congressional district of New Jersey;			1900	ok
nnc2.ark:/13960/t25b0vz07	2433253	11558485	RC341.C563	Church, Archibald,	Philadelphia;W.B. Saunders;1900.	s	1900	    	1900	pau	1900	monograph	Mental illness;Diseases;Nervous system	NotFiction	Nervous and mental diseases	1900.0		1900	ok
mdp.39015004719038	1908962	59201821	<blank>	Shakespeare, William,	London [etc.;Blackie & Son, limited;1900.	s	1900	    	1900	enk	<blank>	monograph	Henry;V;1387-1422;King of England;Drama	UnknownGenre	The life of Henry the Fifth			1900	ok
mdp.39015053600014	1794318	5234637	<blank>	Daudet, Alphonse,	Boston;Little, Brown & co.;1900.	s	1900	    	1900	mau	<blank>	monograph	<blank>	UnknownGenre	The evangelist			1900	ok
njp.32101067487262	8958211	10095832	<blank>	Wycherley, William,	London;E. Benn;New York, C. Scribner's Sons;19--?	s	1900	    	"<estimate=""[19--?]"">"	enk	<blank>	monograph	<blank>	NotFiction	William Wycherley;			1900	ok
uc2.ark:/13960/t3tt4j802	1901044	6400218	<blank>	Thorpe, Eliza J Ellery	N.Y.;E.S. Werner pub. & supply co.;1900-[1899	c	1900	1899	1900-1899	nyu	<blank>	monograph	<blank>	UnknownGenre	Speech hesitation			1900	ok
wu.89052501483	5724887	2864467	SK287.M6R2	Randall, J. L.,	London;S. Low, Marston and Co.;1901.	s	1901	    	1901	enk	vol.1	monograph	Meynell hounds;Fox hunting	NotFiction	A history of the Meynell hounds and country, 1780-1901			1901	ok
nyp.33433006610947	1692986	8832984	QH141.D6	Elliot, G. F. Scott	Glasgow;Pub. by the local committee for the meeting of the British association;1901.	s	1901	    	1901	stk	<blank>	monograph	Zoology;Botany;Geology;Scotland	NotFiction	Fauna, flora & geology of the Clyde area			1901	ok
nyp.33433074908579	285595	801719	PR6013.W8Q8 1901	Gwynn, Stephen Lucius,	London;New York;John Lane;1901.	s	1901	    	1901	enk	<blank>	monograph	<blank>	NotFiction	The queen's chronicler			1901	ok
wu.89090379272	5918576	28263124	<blank>	Steevens, G. W.	New York;Dodd Mead, and Co.;1901.	s	1901	    	1901	nyu	<blank>	monograph	Greco-Turkish War, 1897	NotFiction	With the conquering Turk;			1901	ok
mdp.39015033857429	1363686	61614481	<blank>	Voltaire,	New York;St.Hubert Guild;c1901-03	m	1901	1903	1901-1903	nyu	v.9	monograph	<blank>	UnknownGenre	Works			1901	ok
mdp.39015033165831	1204749	33869687	DA670.W6B69	Bourget, Paul,	London;H. W. Bell;1901.	s	1901	    	1901	enk	<blank>	monograph	Description and travel;Isle of Wight (England)	NotFiction	Days in the Isle of Wight			1901	ok
mdp.39015058500508	319570	8739745	<blank>	Adams, Charles Francis,	Boston;Houghton, Mifflin & co.;1901.	s	1901	    	1901	mau	<blank>	monograph	1807-1870;(Robert Edward);Lee, Robert E	NotFiction	The confederacy and the Transvaal			1901	ok
uva.x030527511	9792318	10133345	<blank>	<blank>	Washington [D.C.;G.P.O.;1901.	s	1901	    	1901	dcu	<blank>	monograph	Awards;Exhibitions	NotFiction	Report of the Committee on Awards of the World's Columbian Commission			1901	ok
mdp.39015001793168	1880789	68184223	<blank>	Bain, R. Nisbet	London;A.H. Bullen;1902.	s	1902	    	1902	enk	<blank>	monograph	<blank>	UnknownGenre	Cossack fairy tales & folk-tales			1902	ok
uc2.ark:/13960/t8cf9sj00	6271105	<blank>	DP48.W72	Williams, Leonard,	London;Cassell and co., limited;1902.	s	1902	    	1902	xx 	<blank>	monograph	Spain;Civilization;Social life and customs	NotFiction	The land of the Dons			1902	ok
loc.ark:/13960/t1wd4bp59	9607733	<blank>	PS3505.L24W5 1902	Clark, A[rthur Gerald],	New York;London [etc.;The Abbey press;1902	s	1902	    	1902	nyu	<blank>	monograph	<blank>	NotFiction	When bards sing out of tune [a poem]			1902	ok
uc1.$b527946	8932656	11260312	QA455.H8	Hopkins, G. Irving	Boston;D.C. Heath & co.;1902.	s	1902	    	1902	mau	<blank>	monograph	Geometry, Plane	NotFiction	Inductive plane geometry			1902	ok
nyp.33433081838124	8693521	41087842	<blank>	Severus,	London;Williams & Norgate;1902-04.	m	1902	1904	1902-1904	enk	v. 1	monograph	<blank>	NotFiction	The sixth book of the select letters of Severus, patriarch of Antioch			1902	for-content
mdp.39015063891553	1738581	12566762	<blank>	Matheson, Ewing.	London;E.& F.N. Spon;New York;Spon & Chamberlain;1903.	s	1903	    	1903	enk	<blank>	monograph	<blank>	UnknownGenre	The depreciation of factories, mines and industrial undertakings and their valuation			1903	ok
mdp.39015063525722	282289	1855512	<blank>	Barbour, Ralph Henry,	New York;Doubleday, Page & company;1903.	s	1903	    	1903	nyu	<blank>	monograph	Fiction;Harvard University	Fiction	The land of joy			1903	ok
mdp.39015005093227	399579	8732343	BL820.C2H3	Harris, J. Rendel	London;C. J. Clay and sons;1903.	s	1903	    	1903	enk	<blank>	monograph	Pollux;Christian saints;Castor;History and criticism;Legends	NotFiction	The Dioscuri in the Christian legends			1903	ok
mdp.39015005715159	235044	1805370	DA866.J66	Johnson, Clifton,	New York;The Macmillan company;London;Macmillan and co., limited;1904.	s	1904	    	1904	nyu	<blank>	monograph	Description and travel;Scotland	NotFiction	The land of heather			1904	ok
wu.89097318091	5802478	876145	<blank>	Farrar, Reginald.	London;Nisbet & Co.;1904.	s	1904	    	1904	enk	<blank>	monograph	IsBiographical;Church of England;Biography;1831-1903;(Frederic William);Farrar, F. W;Clergy	NotFiction;Bibliographies;Biography	The life of Frederic William Farrar, sometime dean of Canterbury			1904	ok
mdp.39015064571410	566396	6977739	<blank>	Baker, Francis Elisha,	Richmond;Everett Waddey co.;1904.	s	1904	    	1904	vau	<blank>	monograph	Corporations;United States	NotFiction	The state corporation as a party in the federal courts			1904	ok
loc.ark:/13960/t7hq4db9x	9008914	3838879	E263.V5V5	<blank>	Rutland, Vt.;Tuttle;1904.	s	1904	    	1904	vtu	<blank>	monograph	Vermont;Revolution;Militia;Registers, lists, etc;History	NotFiction	Rolls of the soldiers in the revolutionary war, 1775 to 1783			1904	ok
uc2.ark:/13960/t9x062n9m	7694536	21002302	<blank>	May, Thomas.	Warrington;Mackie;1904.	 	1904	    	1904	enk	<blank>	monograph	Antiquities;Warrington (England)	NotFiction	Warrington's Roman remains			1904	ok
mdp.39015062272862	1926838	68139527	<blank>	Yvempo, Oertse	London;Watts & co.;1904.	s	1904	    	1904	enk	<blank>	monograph	<blank>	UnknownGenre	The worthlessness of Christianity			1904	ok
uc2.ark:/13960/t53f4q61z	7693015	5021884	<blank>	Sykes, Mark,	London : Printed for Bickers and Son;1904.	s	1904	    	1904	enk	<blank>	monograph	Great Britain;Illustrated periodicals;English wit and humor	NotFiction	D'Ordel's Pantechnicon			1904	ok
loc.ark:/13960/t9862qt1h	9587775	<blank>	F129.S61S7	Slocum, George Engs,	Scottsville, N.Y.;I. Van Hooser, printer;1904.	s	1904	    	1904	nyu	<blank>	monograph	Scottsville;Historic buildings;New York (State)	NotFiction	The first house in Scottsville			1904	ok
uc2.ark:/13960/t0ht2nc7n	6928890	1430964	<blank>	Goudie, Gilbert.	Edinburgh;London;W. Blackwood and sons;1904.	s	1904	    	1904	stk	<blank>	monograph	Shetland (Scotland);Northmen;Great Britain;Scotland;Antiquities;Antiquities, Celtic	NotFiction	The Celtic and Scandinavian antiquities of Shetland			1904	ok
nyp.33433082032867	1137105	2654280	HX276.C36	Cathrein, Victor,	New York;Cincinnati [etc.;Benziger brothers;1904.	s	1904	    	1904	xx 	<blank>	monograph	Socialism	NotFiction	Socialism			1904	ok
nyp.33433082034665	8698358	40000109	<blank>	<blank>	Joplin, Mo.;Pratt Printing House;1904.	s	1904	    	1904	mou	<blank>	monograph	<blank>	NotFiction	Revised and republished ordinances of the city of Joplin, Missouri			1904	ok
mdp.39015063071198	969574	5372005	HE1843.N53	Newcomb, H. T.	New York;American bank note co.;1905?	s	1905	    	1905	nyu	<blank>	monograph	Freight;United States;Railroads;Rates	NotFiction	The facts about railroad rates			1905	ok
nyp.33433082501655	8653919	522003	<blank>	Quiller-Couch, Arthur,	London [etc.;Cassell;1905.	s	1905	    	1905	xx 	<blank>	monograph	Adventure and adventurers	NotFiction	The blue adventure book			1905	ok
uc2.ark:/13960/t81j9dv5t	112309	2273868	<blank>	Terry, Charles Sanford,	Glasgow;J. MacLehose and sons;1905.	s	1905	    	1905	stk	<blank>	monograph	Pentland rising, 1666	NotFiction;Bibliographies	The Pentland rising & Rullion Green			1905	ok
